subject,electrode,band,k,error
3,13,Mu,3,0.35
3,13,Mu,4,0.45
3,13,Mu,5,0.4
3,13,Mu,6,0.5
3,13,Mu,7,0.6
3,13,Mu,8,0.55
3,13,Mu,9,0.5
3,13,Mu,10,0.55
3,13,Beta,1,0.35
3,13,Beta,2,0.3
3,13,Beta,3,0.55
3,13,Beta,4,0.7
3,13,Beta,5,0.5
3,13,Beta,6,0.55
3,13,Beta,7,0.5
3,13,Beta,8,0.55
3,13,Beta,9,0.6
3,13,Beta,10,0.55
3,14,Mu,1,0.45
3,14,Mu,2,0.5
3,14,Mu,3,0.55
3,14,Mu,4,0.5
3,14,Mu,5,0.45
3,14,Mu,6,0.6
3,14,Mu,7,0.6
3,14,Mu,8,0.6
3,14,Mu,9,0.45
3,14,Mu,10,0.5
3,14,Beta,1,0.65
3,14,Beta,2,0.7
3,14,Beta,3,0.6
3,14,Beta,4,0.55
3,14,Beta,5,0.35
3,14,Beta,6,0.35
3,14,Beta,7,0.35
3,14,Beta,8,0.35
3,14,Beta,9,0.45
3,14,Beta,10,0.4
